Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.84593733,-80.17631233,03:31.1,10/4/20,6,0.211,0,-6.99304415,2.06,295,289.05,4.06,-5.1,29.5,0.03,1.13,1.16,91,22,498.6,16.1,-1.3,D,1516.7,0,18.793,2,0,128,247.09,-80.17648531,25.84587153,0,0,1,N,14.03359,83,83,11,5,5,239.162,0,9999.99,1.17,1.297,2,9,28.7,0,28.70000076,2.75,1508.94094,10/4/20,17:43:37,27.95,5.138,2.75,0.985,7.86,-51.3,-2.3,-3.3,-381,28.3,2.18,13.2,
25.84593798,-80.17631143,03:32.1,10/4/20,6,0.289,0,-6.99304415,2.06,295.8,289.86,4.21,-3.87,29.5,0.03,1.11,1.14,91,23,498.6,16.1,-1.4,D,1427,0,18.904,2,0.26,174,246.99,-80.17648531,25.84587153,0,0,1,N,14.20346,82,82,11,5,5,247.0862,0,9999.99,1.15,1.277,2,9,28.7,0,28.70000076,2.75,1508.94039,10/4/20,17:43:38,27.95,5.135,2.75,0.984,7.83,-49.2,-1.2,-1.4,-805,28.3,2.18,13.2,
25.84593876,-80.17631052,03:33.2,10/4/20,6,0.364,0,-6.99304415,2.06,300.7,294.83,5.93,1.21,29.5,0.03,1.12,1.15,91,23,498.6,16.1,-1.4,D,1427,0,19.022,2,0.26,174,246.86,-80.17648531,25.84587153,0,0,1,N,14.20346,93,93,11,5,5,247.2606,0,9999.99,1.17,1.297,2,9,28.7,0,28.70000076,2.74,1508.9306,10/4/20,17:43:39,27.95,5.129,2.74,0.928,7.82,-48.8,-2,-1.6,144,28.2,2.18,13.3,
25.84593931,-80.17631166,03:34.2,10/4/20,6,0.457,0,-6.99304415,2.06,296.1,290.17,3.32,-1.15,29.6,0.02,1.13,1.15,91,23,498.6,16.1,-1.4,D,1427,0,18.942,2,0.04,174,246.55,-80.17648531,25.84587153,0,0,1,N,14.20346,77,77,11,5,5,247.1226,0,9999.99,1.16,1.287,2,9,28.7,0,28.70000076,2.74,1508.9299,10/4/20,17:43:40,27.95,5.129,2.74,0.914,7.86,-51.1,-2.3,-3.5,-6422,28.2,2.18,13.3,
25.84594051,-80.17631598,03:35.2,10/4/20,6,0.96,0,-6.99304415,2.06,290.9,284.88,3.19,0.08,29.6,0.01,1.13,1.14,91,23,498.6,16.1,-1.4,D,1427,0,18.6,2,0.26,174,245.65,-80.17648531,25.84587153,0,0,1,N,14.20346,76,76,11,5,5,246.6128,0,9999.99,1.16,1.287,2,9,28.7,0,28.70000076,2.74,1508.92943,10/4/20,17:43:41,27.95,5.13,2.74,1.049,7.84,-49.8,-1.5,-1.5,-3129,28.2,2.18,13.3,
25.84594265,-80.17632104,03:36.2,10/4/20,6,1.163,0,-6.99304415,2.06,282.7,276.51,3.11,-1.82,29.6,0.01,1.17,1.18,91,39,498.6,16.1,-2.4,D,842.2,0,18.242,2,0.58,174,244.31,-80.17648531,25.84587153,0,0,1,N,14.20346,76,76,11,5,5,244.3584,0,9999.99,1.2,1.327,2,9,28.7,0,28.70000076,2.77,1508.95837,10/4/20,17:43:42,27.95,5.169,2.77,0.974,7.86,-51.1,-1,-1.7,-3896,28.2,2.17,13.1,
25.84594334,-80.17632679,03:37.2,10/4/20,6,0.874,0,-6.99304415,2.06,274.4,268,3.86,0.24,29.6,0.01,1.16,1.17,91,39,498.6,16.1,-2.4,D,842.2,0,17.76,2,0.76,174,243.28,-80.17648531,25.84587153,0,0,1,N,14.20346,80,80,11,28,28,243.3228,0,9999.99,1.19,1.317,2,9,28.7,0,28.70000076,2.76,1508.94796,10/4/20,17:43:43,27.95,5.161,2.76,0.99,7.82,-48.8,-1.8,-6.7,-3546,28.2,2.18,13.3,
25.84594233,-80.176332,03:38.2,10/4/20,6,1.254,0,-6.99304415,2.06,262.6,255.79,4.72,2.17,29.6,0.01,1.25,1.26,91,39,498.6,16.1,-2.4,D,842.2,0,17.244,2,0.95,174,242.84,-80.17648531,25.84587153,0,0,1,N,14.20346,85,85,11,70,70,243.0895,0,9999.99,1.29,1.417,2,9,28.7,0,28.70000076,2.78,1508.96892,10/4/20,17:43:44,27.95,5.198,2.78,0.978,7.83,-49.5,-1.8,-5.8,-1319,28.2,2.17,13.2,
25.84593975,-80.17633759,03:39.2,10/4/20,6,1.29,0,-6.99304415,2.06,258.7,251.73,5.53,-0.05,29.6,0.01,1.31,1.33,91,38,498.6,16.1,-2.3,D,878.9,0,16.615,2,1.06,174,242.84,-80.17648531,25.84587153,0,0,1,N,14.20346,88,88,11,91,91,242.8216,0,9999.99,1.36,1.487,2,9,28.7,0,28.70000076,2.8,1508.99065,10/4/20,17:43:45,27.95,5.232,2.8,0.977,7.82,-49,-2.4,-4.4,948,28.1,2.17,13.3,
25.84593672,-80.1763432,03:40.3,10/4/20,6,1.347,0,-6.99304415,2.06,252.6,245.36,3.78,2.99,29.6,0.01,1.45,1.47,91,38,498.6,16.1,-2.3,D,878.9,0,15.962,2,1.15,174,242.99,-80.17648531,25.84587153,0,0,1,N,14.20346,80,80,11,117,117,242.9509,0,9999.99,1.49,1.617,2,9,28.7,0,28.70000076,2.79,1508.98013,10/4/20,17:43:46,27.95,5.215,2.79,0.994,7.86,-50.9,-0.7,-4.6,-905,28.1,2.17,13.1,
